id;name;rating;reviews;;;
ChIJr2W3YSZ9uRQRtM-qsJBnUew;+1 Down Kafe;4,7;['y', 'A great cafe, affordable prices, surrounded by greenery, bird sounds are amazing', 'Elit is a nice cafe located in this region, the prices of drinks start from 1.5 lira, there are cakes for 5 lira and 7.5 lira. It has a friendly atmosphere, a quiet place surrounded by greenery and trees. I definitely recommend you to go. We went as a family and had a great time.', 'Very good', 'Tea is 1 TL, coffee is 3.5 TL, kashar toast is 4 TL. Down cafe is in Büyükpark Bornova. Our beautiful children are serving at the Down cafe. Their garden is small but their hearts are big💜'];;;
ChIJOb3yk5N9uRQRSuuqS9gtd2I;1x ortaköy kumpircisi;3,4;"[""I ordered at 21.04 and now it is 23:45. They told customer service that they hung it on the door first. When I contacted customer service for the second time, they said that they wrote the wrong number and a woman came out and cursed at us. Is this my first time ordering? I've ordered 100 times with that phone number. You are already registering in the system with that phone number. Couldn't you find another lie? I have your exam tomorrow\nMy night was ruined because of you. If you don't want to ruin your day, don't order."", ""I went with my wife. It doesn't even deserve 1 star. Baked potatoes arrived cold. They brought it after heating it again. But unfortunately it tasted very bad. The variety of appetizers is very limited. Appetizers are not fresh. I didn't taste any cheddar or butter in the potatoes. I told all of these to the business while paying the bill. The table in front of me had the same complaints as me. first and last\nIt was development."", ""Instead of eating here, it's better to buy some biscuits from the buffet to satisfy your hunger, then when you get home, boil 3 small potatoes, add some cheddar, butter and any side dish you want and eat. I ate the worst kumpir I've ever eaten in my life here and the service was extremely slow."", ""Don't order, they don't deliver your order and their customer service can't do anything about it."", 'I liked it very much, it is a comfortable environment. The staff is fast and attentive, thank you...']";;;
ChIJGaoqO3R9uRQR7RFRqkpWuLA;777 Coffee House;4,8;"['A very nice coffee atmosphere, wonderful friendly staff. I loved the music list, it brought back memories of my youth and high school.', ""The atmosphere is very nice, the people are very sweet and the prices are student friendly!! We couldn't come because it was usually crowded, but we were glad we came when we found it empty. You can come again from now on, I found it safe☝🏻☝🏻☝🏻☝🏻⭐️"", ""oh daisy... :)) don't come here and leave without eating daisy dessert. Although the owners are just as sweet as the sweet daisy. If you want to be in Küçükpark but want to chat away from the noise, this is the address, everything is delicious. So many hearts 💜"", ""I loved the atmosphere, desserts and coffees. It's a nice and sweet cafe that I will always come to. The staff and owner are very friendly, be sure to stop by."", ""Even though it is a newly opened place, it is a place that provides professional service. It has a presentation that I have not seen before. The ooo daisy served with a five-star pot and worms is a must-try.\nAlso, as a coffee gourmet with high quality coffees, I don't like them easily.\nThe prices are incredibly affordable, we paid 21 lira for coffee and dessert, it is not noisy, the music is great, the atmosphere is wonderful, I made a lot of new friends, with its friendly staff, I think it is the only one in the small park in Bornova😘😘😘 thank you 777, its meaning is also great""]";;;
ChIJLeQsfwB9uRQRWG24BWfITi4;ANGEL CAFE;2;"['It\'s a bit of a small place, apart from that, the employees are very friendly. We come to play games with my friends. There are a lot of board games such as chess, monopoly, taboo, and they also bought the corridor game, which was the comment I made on the post ""Which games would you like to see"" on Instagram last week? I\'m very happy \U0001fa77\U0001faf6🏻', 'A unique cafe where I admire the attitude of its employees and the greed of the employer.', 'The employees were very disrespectful.', 'Very pleased to meet you']";;;
ChIJtWyhU1F9uRQRPWercRQV7Ek;Asperitas coffee;4;"['An amaizing place!!\nI will come again :)', 'Service is amazing, would visit again', 'The most important feature of this place is its spacious atmosphere. If the coffee quality was improved, this place could become a much more popular place. For now, it is a suitable option for those looking for a spacious environment...', 'The atmosphere is great. It may be preferred over the chaos of Küçükpark.', ""The environment is very nice. It is difficult to find such a spacious environment in a cramped place like a small park. But their coffee is really bad. Tasteless, very watery, no coffee intensity. and extremely expensive. The fact that they sell Americano (which does not have that taste) for 95 liras, which is 65 liras at Gloria Jeans, is beyond ridiculous, it's funny...""]";;;
ChIJ26AikiV9uRQRu5i6vV4SyEQ;Baccy;3,5;"['Comfortable place to spend an hour or more.', ""We wanted to go somewhere different from where we always go. I'm glad we came, I really liked the atmosphere, the attention of the employees, and the taste of the food. Bottled or draft beer is 35 TL until 19:00 in the evening. Potato and chicken plate is 53 TL. It was very plentiful and hot, it was enough for 3-4 people, not 2, to snack on."", ""If there was a zero or minus point option, we would have given it that way, there is no interest or service, we would have bought Uncleoglu beers and drank them in the park if you hadn't bothered, what was the need...we were tiring you out, sorry."", 'It is in the most indifferent and coldest place I have ever seen as a manager in my life. It is neither possible nor able to ask anything to the waiters. It is a great honor to leave the place where you came for pleasure without getting beaten.', ""I can say that it is the worst place I have been to in Küçükpark.  We went to watch the match with friends, 6 beers and the cost of watching the match is 100 TL per person, the total bill for 6 bottles of beer is 1590 TL. The grocery price of beer is 75 TL. We drank a bottle for 210 TL each. What a way to win. This was a way of cheating, not winning. If you charge 210 TL for beer, then don't charge the match fee. I was not satisfied at all. I definitely do not recommend it. Of course, those who want to get ripped off can go...""]";;;
ChIJx_ZQXgB9uRQRIlE9xd7yHoE;Bakur Cafe;5;['This cafe is a place that makes me feel the warmth of family until the last moment. It is a completely fascinating place with its tea, beautiful friendships, conversations, music and beautiful events...', 'An ideal environment for those looking for intimacy and musicality', 'The atmosphere is very warm and friendly, a perfect place', 'The best place for music, events and entertainment', 'The only place to go for menemen for breakfast'];;;
ChIJ76j-WS99uRQRUCKqVZjP1hs;Bamteli Cafe;4,2;"['Do not eat anything with chicken. 4 of us went for iftar and got poisoned. Thank God, I ordered chicken salad, it was too little, I only had diarrhea, but everyone at the table who ate chicken was faced with both diarrhea and vomiting. How old are the chickens now?...', ""It's a very nice place. Mr. Anıl is very attentive to his customers. I definitely recommend him."", 'A decent, clean business with friendly staff where you can go and play games with your family.', 'Prices are affordable, service is fast. Hookah is average', 'Nice place other than Tutun and hookah choking. )) It is difficult for non-smokers and ex-smokers to sit still. If you drink it, it somehow boils over.']";;;
ChIJFVt0zRrXuxQRPJ40VzZE16k;Base Coffee & More;5;"['A perfect place to meet with friends. Their coffee is very delicious and affordable. Their desserts are also very delicious. I recommend Espresso Magnolia to everyone. Once we went there, we wanted to go again because of its friendly atmosphere.', 'It is a cafe that I can recommend to everyone with its friendly staff, delicious coffee and desserts. It is highly recommended that you try it.', 'A sweet cafe', 'Desserts and coffee are legendary ❤️\u200d🔥', ""It's a very sweet cafe. If you ever come to Bornova, be sure to stop by. The employees are friendly, sweet and very attentive. It is a cafe where you can feel like at home.""]";;;
ChIJr3C8GLV9uRQRzs9cKsTcuEU;Bee Coffee;3,6;"['If you are with your girlfriend and wondering which place to visit, one of the best alternatives in the area. Especially the meeting room upstairs is strongly recommended. Quiet and shady. Good coffee is a bonus !!!', ""I sat at the place at 1.30 in the afternoon, when not only the cafe but the whole Bornova was empty. Since the place was empty, I took a table by the window and ordered a herbal tea. After my server friend brought the tea, he said, 'I'll have a large group of people coming, let me take you somewhere else,' which is the classic cafe lie. Even though he tried to be polite, there was no point in me not being able to sit where I wanted at noon when the place was empty, so I left the money for the tea on the table and left so that the employee wouldn't be offended. At least when I sat down at the table, I could have been told that it would not be welcome for me to sit there, so I could get up and leave without anyone bothering me, but it is impossible not to miss the money for the 3 kuruş tea and not to think that the manager waited until the service was served. Unfortunately, there is no supervisory mechanism in the way businesses operate in our country, and people who have little money in their pockets and no other qualifications can occupy such a central place in beautiful Izmir and display their ugly actions. I hope you close your shutters as soon as possible. Have a nice day."", 'Even though all of my friends at the table I was sitting at ordered (things like salep) and I also bought water, they said to me, ""You can\'t just buy one water and sit like that, you have to order another."" It is a business that is worse than firing you. This is not my first visit to this establishment. I have never heard or seen a customer treated like this before.', 'First, two people went and we ordered two teas, they said there was no tea, so we said let\'s get a latte, then our friend came and asked for tea, he said no, when I said I can\'t have it now, he scolded us for saying ""Guys, you\'ve been sitting around for a while, you haven\'t bought any"", then when we said let\'s get water, he came down to the table and said, ""We are brewing tea, now he brings the tea in a cup and costs 30 TL."" They made it extra, don\'t go!!!', 'It is not self-service and they take orders quickly, which is very good, but there may be problems with payment. The POS devices are faulty and cards may not be accepted. They ask for cash payment. The tables and chairs in the environment were not very hygienic, and the cushions on the chairs seemed to be damp.']";;;
